City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Ndjole,GA,2022-05-27 23:34:36,-0.1783,10.7649,72.79,97,57,1.19,broken clouds
127,Luanda,AO,2022-05-27 23:34:37,-8.8368,13.2343,71.6,88,20,3.44,few clouds
128,Lasa,IT,2022-05-27 23:34:37,46.6166,10.7002,65.28,93,32,6.4,scattered clouds
129,Tecoanapa,MX,2022-05-27 23:34:37,16.5167,-98.75,83.28,75,99,8.68,overcast clouds
130,Beringovskiy,RU,2022-05-27 23:34:37,63.05,179.3167,46.6,67,97,15.01,overcast clouds
131,Zhangjiakou,CN,2022-05-27 23:34:38,40.81,114.8794,73.67,37,21,0.85,few clouds
132,Basoko,CD,2022-05-27 23:35:38,1.2391,23.616,71.04,92,25,3.31,scattered clouds
133,Sao Felix Do Xingu,BR,2022-05-27 23:35:38,-6.6447,-51.995,73.65,84,41,2.42,scattered clouds
134,Celestun,MX,2022-05-27 23:35:38,20.8667,-90.4,80.92,79,100,13.29,overcast clouds
135,Ampanihy,MG,2022-05-27 23:35:39,-24.7,44.75,59.85,70,0,5.97,clear sky
136,Sapernoye,RU,2022-05-27 23:35:39,60.7167,29.9505,44.65,98,42,3.98,scattered clouds
137,Kirakira,SB,2022-05-27 23:35:39,-10.4544,161.9205,79.38,84,98,3.27,overcast clouds
138,Salinas,US,2022-05-27 23:35:39,36.6777,-121.6555,73.0,58,0,12.66,clear sky
139,Sur,OM,2022-05-27 23:35:40,22.5667,59.5289,85.5,59,0,7.49,clear sky
140,Aswan,EG,2022-05-27 23:35:40,24.0934,32.907,85.3,12,0,5.75,clear sky
141,Sao Filipe,CV,2022-05-27 23:35:41,14.8961,-24.4956,72.48,83,17,4.45,few clouds
142,Margate,GB,2022-05-27 23:35:41,51.3813,1.3862,55.69,64,20,5.01,few clouds
143,Bandarbeyla,SO,2022-05-27 23:35:41,9.4942,50.8122,81.28,73,55,18.21,broken clouds
144,Saint Anthony,US,2022-05-27 23:35:41,45.0205,-93.218,76.89,45,0,10.36,clear sky
145,Mahebourg,MU,2022-05-27 23:35:42,-20.4081,57.7,70.09,88,20,4.61,few clouds
146,Campo Maior,BR,2022-05-27 23:35:42,-4.8278,-42.1686,77.07,67,81,3.76,broken clouds
147,Kenai,US,2022-05-27 23:35:42,60.5544,-151.2583,73.45,25,0,16.11,clear sky
148,Barrow,US,2022-05-27 23:35:43,71.2906,-156.7887,32.02,86,100,19.57,snow
149,Belyy Yar,RU,2022-05-27 23:35:43,53.6039,91.3903,50.86,61,0,4.47,clear sky
150,Mound,US,2022-05-27 23:35:43,44.9366,-93.6661,77.31,48,37,10.0,scattered clouds
