City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Labuhan,ID,79.02,overcast clouds,-6.8844,112.2051,DoubleFAG
336,Bubaque,GW,80.46,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
340,Marawi,PH,73.71,overcast clouds,7.9986,124.2928,Derogongan Residence
344,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
345,Zhuhai,CN,82.18,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
346,Aloleng,PH,83.86,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
349,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
350,Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
357,San Jose,US,78.49,broken clouds,37.3394,-121.895,The Westin San Jose
363,Jati,PK,81.25,scattered clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
364,Portobelo,PA,81.95,overcast clouds,9.55,-79.65,Scuba Portobelo
365,Fukue,JP,77.36,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
369,Nova Olinda Do Norte,BR,79.16,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
373,Bo Phloi,TH,76.26,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
374,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
379,Laramie,US,76.53,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
381,Manaus,BR,81.1,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
395,Makeni,SL,75.61,overcast clouds,8.8833,-12.05,Multiple Guesthouse
397,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
407,Tarakan,ID,78.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
410,Matay,EG,77.58,clear sky,28.419,30.7792,Nag Aespen
414,Carutapera,BR,74.82,scattered clouds,-1.195,-46.02,Lidera
422,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
423,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
427,Champerico,GT,84.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
434,Dwarka,IN,81.1,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
453,Guabito,PA,78.69,overcast clouds,9.5,-82.6167,Cabinas Sanchez Salazar
454,Kieta,PG,84.97,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
455,Tutoia,BR,76.48,clear sky,-2.7619,-42.2744,Pousada Guará's
460,Puga,MX,87.87,broken clouds,21.5833,-104.8167,Del sol
466,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
473,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
474,Valera,VE,73.06,overcast clouds,9.3178,-70.6036,Hotel Camino Real
479,Tuy Hoa,VN,80.17,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
481,Acapulco,MX,83.1,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
482,Sassandra,CI,77.99,light rain,4.95,-6.0833,la terrasse
484,Vanimo,PG,83.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
485,Eyl,SO,80.13,overcast clouds,7.9803,49.8164,Amiin Hotel
489,Nisia Floresta,BR,77.38,moderate rain,-6.0911,-35.2086,Rancho Crepusculo
493,Daru,PG,82.38,broken clouds,-9.0763,143.2092,Daru Lodge
494,Gusau,NG,85.73,broken clouds,12.1628,6.6614,GUEST INN
496,Parnaiba,BR,75.65,clear sky,-2.9047,-41.7767,Hotel Delta
497,Indi,IN,79.56,clear sky,17.1667,75.9667,Shree Gurubhojanalaya
499,Magalia,US,74.75,overcast clouds,39.8121,-121.5783,Paradise Pines RV Park - FHU - Safe & Clean
500,Moa,CU,76.57,overcast clouds,20.6569,-74.9403,Carmen
502,Sabha,LY,87.48,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
503,Manokwari,ID,82.67,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Savelugu,GH,79.83,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
509,Iquitos,PE,77.04,light rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
513,Murray,US,85.78,clear sky,40.6669,-111.888,Hampton Inn Salt Lake City/Murray
515,Katherine,AU,73.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
517,Diplo,PK,80.94,few clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
520,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
524,Sulangan,PH,83.07,overcast clouds,11.1373,123.7228,Maia's Beach Resort
527,Acajutla,SV,79.93,light rain,13.5928,-89.8275,Laureles
531,Haapiti,PF,83.93,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
533,Bom Jesus,BR,74.32,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
535,Grand-Lahou,CI,77.61,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
537,Atar,MR,84.27,light rain,20.5169,-13.0499,Oumou Elghoura
541,Dawei,MM,77.18,light rain,14.0833,98.2,Hotel Dawei
542,Karratha,AU,77.5,light rain,-20.7377,116.8463,ibis Styles Karratha
545,Bowen,AU,73.81,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
547,Chabahar,IR,82.56,clear sky,25.2919,60.643,هتل گدروشیا
550,Gat,IL,78.4,scattered clouds,31.61,34.7642,OlusHome
551,Lazaro Cardenas,MX,83.19,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
553,Kamojima,JP,75.02,scattered clouds,34.0667,134.35,Yawata Inn
559,Roebourne,AU,77.72,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
561,Lindsay,US,88.77,clear sky,36.203,-119.0882,Lindsay Inn
563,Tamandare,BR,75.67,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
564,High Rock,BS,80.31,scattered clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
565,Tautira,PF,79.83,clear sky,-17.7333,-149.15,Pension Oaoa
567,Mao,ES,72.16,clear sky,39.8885,4.2658,ARTIEM Capri
569,Dakar,SN,77.88,scattered clouds,14.6937,-17.4441,Novotel Dakar
571,Nicoya,CR,78.84,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
572,Yenagoa,NG,72.14,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
577,Ahuimanu,US,82.11,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
580,Mul,IN,87.66,clear sky,20.0667,79.6667,Taj Mahal
582,Mujiayingzi,CN,73.08,scattered clouds,42.1167,118.7833,Jinjiang Hotel
585,Puerto Lempira,HN,82.54,broken clouds,15.2667,-83.7667,Puerto Lempira gracias a Dios
587,Russell,US,83.48,clear sky,32.3502,-85.1999,Macs
591,Hobyo,SO,78.55,broken clouds,5.3505,48.5268,Iftin hotel hobyo
592,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
595,Kuantan,MY,77.11,few clouds,3.8077,103.326,Hotel Sentral Kuantan
597,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
601,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
605,Muli,MV,83.35,few clouds,2.9167,73.5667,Medhufushi Island Resort
607,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
610,Sawankhalok,TH,80.04,few clouds,17.316,99.8319,Boon Bunleng Resort
612,Baghmara,IN,86.45,scattered clouds,23.795,86.2085,Shankar tea shop
613,Point Pedro,LK,82.22,scattered clouds,9.8167,80.2333,Gtr homes
614,Wahpeton,US,80.62,clear sky,46.2652,-96.6059,Select Inn Breckenridge
616,Majene,ID,80.11,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
617,Moussoro,TD,87.64,clear sky,13.6408,16.4901,Hôtel Salama
618,Aden,YE,84.88,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
619,Sinnamary,GF,78.08,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
621,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
622,Pangkalanbuun,ID,76.33,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
625,Utica,US,73.51,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
626,Tual,ID,82.87,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
628,Fuxin,CN,77.22,scattered clouds,42.0156,121.6589,Xinya International Hotel
629,Buluang,PH,81.57,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
634,Ravar,IR,72.03,clear sky,31.2656,56.8055,computertik
638,Palauig,PH,84.0,overcast clouds,15.435,119.9045,Alperi Botique Resort
644,Chifeng,CN,73.2,scattered clouds,42.2683,118.9636,Junyu Tiancheng Hotel
650,Ciudad Bolivar,VE,86.34,overcast clouds,8.1222,-63.5497,Hotel Edi
651,Lang Son,VN,76.48,overcast clouds,21.8333,106.7333,Khai Nga Hotel
652,Sabang,ID,83.41,overcast clouds,5.8933,95.3214,Hotel Citra
