City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Faanui,PF,2022-05-31 02:13:26,-16.4833,-151.75,80.29,70,93,10.25
93,Green River,US,2022-05-31 02:13:26,41.5286,-109.4662,48.97,68,100,1.99
94,Cabo San Lucas,MX,2022-05-31 02:13:27,22.8909,-109.9124,83.5,55,0,13.8
95,Poum,NC,2022-05-31 02:13:27,-20.2333,164.0167,77.86,84,99,12.21
96,San Policarpo,PH,2022-05-31 02:13:27,12.1791,125.5072,79.27,88,100,6.33
97,Rawson,AR,2022-05-31 02:13:28,-43.3002,-65.1023,40.89,61,29,12.03
98,Prince Rupert,CA,2022-05-31 02:10:08,54.3161,-130.3201,51.89,87,40,5.75
99,Maumere,ID,2022-05-31 02:13:28,-8.6199,122.2111,85.01,68,94,2.8
100,Fortuna,US,2022-05-31 02:13:28,40.5982,-124.1573,56.66,75,40,14.97
101,Marsala,IT,2022-05-31 02:13:29,37.7966,12.4352,74.93,74,37,13.06
102,Zyryanka,RU,2022-05-31 02:12:16,65.75,150.85,56.57,62,100,5.41
103,Tefe,BR,2022-05-31 02:13:29,-3.3542,-64.7114,73.24,98,50,0.98
104,Evensk,RU,2022-05-31 02:13:29,61.95,159.2333,47.17,64,99,8.03
105,Goundam,ML,2022-05-31 02:13:30,16.4145,-3.6708,91.6,34,54,8.86
106,Vryheid,ZA,2022-05-31 02:13:30,-27.7695,30.7917,40.51,93,0,4.56
107,Prince Albert,CA,2022-05-31 02:13:30,53.2001,-105.7677,48.87,75,78,19.62
108,Lisakovsk,KZ,2022-05-31 02:13:30,52.5369,62.4936,55.72,64,0,13.44
109,Irbil,IQ,2022-05-31 02:13:31,36.1926,44.0106,78.53,23,0,4.99
110,Saint George,US,2022-05-31 02:11:34,37.1041,-113.5841,77.63,12,0,6.91
111,Kudinovo,RU,2022-05-31 02:13:31,54.9994,36.2533,53.87,97,100,11.3
112,Okhotsk,RU,2022-05-31 02:13:31,59.3833,143.3,40.1,74,100,4.99
113,Havelock,US,2022-05-31 02:13:32,34.8791,-76.9013,78.94,89,55,5.3
114,Port Blair,IN,2022-05-31 02:13:00,11.6667,92.75,83.23,81,88,15.21
115,Zalesovo,RU,2022-05-31 02:13:32,53.9939,84.7431,63.97,57,70,5.01
116,Batagay,RU,2022-05-31 02:13:32,67.6333,134.6333,48.15,79,100,2.55
117,Hoi An,VN,2022-05-31 02:13:33,15.8794,108.335,89.56,69,59,2.84
118,Ponta Grossa,BR,2022-05-31 02:13:33,-25.095,-50.1619,57.24,97,100,7.2
119,Lugovoy,KZ,2022-05-31 02:13:33,42.9472,72.7644,59.77,65,30,0.72
120,Nome,US,2022-05-31 02:11:41,64.5011,-165.4064,57.16,71,20,10.36
121,Coquimbo,CL,2022-05-31 02:13:34,-29.9533,-71.3436,51.53,81,75,5.75
122,Salihorsk,BY,2022-05-31 02:13:34,52.7876,27.5415,44.1,96,97,6.51
123,Naze,JP,2022-05-31 02:10:54,28.3667,129.4833,72.63,82,100,7.05
124,Nikolskoye,RU,2022-05-31 02:13:34,59.7035,30.7861,57.09,73,81,8.79
125,Broken Hill,AU,2022-05-31 02:13:35,-31.95,141.4333,54.43,64,45,24.54
126,Lata,PT,2022-05-31 02:13:35,40.1629,-8.3327,63.07,86,67,3.78
127,Westfield,US,2022-05-31 02:13:19,42.1251,-72.7495,76.64,76,0,9.22
128,Eresos,GR,2022-05-31 02:13:35,39.1667,25.9333,61.9,70,35,5.12
129,Bubaque,GW,2022-05-31 02:13:36,11.2833,-15.8333,79.97,74,100,6.58
130,Sur,OM,2022-05-31 02:13:36,22.5667,59.5289,86.27,49,0,11.72
131,Balikpapan,ID,2022-05-31 02:13:36,-1.2675,116.8289,86.99,62,20,3.44
132,Qaanaaq,GL,2022-05-31 02:13:36,77.484,-69.3632,20.37,85,98,4.61
133,Belmonte,BR,2022-05-31 02:13:37,-15.8631,-38.8828,75.78,87,4,8.77
134,Saint-Joseph,RE,2022-05-31 02:13:37,-21.3667,55.6167,68.38,69,15,12.66
135,Torbay,CA,2022-05-31 02:14:37,47.6666,-52.7314,57.88,58,75,6.91
136,Alamosa,US,2022-05-31 02:14:38,37.4695,-105.87,55.38,19,0,9.22
137,Sungaipenuh,ID,2022-05-31 02:14:38,-2.0833,101.3833,75.67,66,48,0.92
138,Kihei,US,2022-05-31 02:14:38,20.785,-156.4656,82.42,70,40,21.85
139,Axim,GH,2022-05-31 02:14:39,4.8699,-2.2405,77.29,88,86,6.8
140,Iqaluit,CA,2022-05-31 02:14:39,63.7506,-68.5145,26.35,81,8,7.07
141,Chumikan,RU,2022-05-31 02:14:39,54.7183,135.315,33.91,98,100,9.04
142,Port Hedland,AU,2022-05-31 02:14:39,-20.3167,118.5667,60.85,82,100,17.27
143,Ponta Do Sol,PT,2022-05-31 02:14:40,32.6667,-17.1,62.71,81,77,8.88
144,Udachnyy,RU,2022-05-31 02:14:40,66.4167,112.4,55.45,40,93,7.67
145,Mahebourg,MU,2022-05-31 02:14:40,-20.4081,57.7,73.26,67,80,17.58
146,San Cristobal,VE,2022-05-31 02:14:41,7.7669,-72.225,75.38,95,42,2.01
147,Cap-Aux-Meules,CA,2022-05-31 02:13:09,47.3821,-61.8597,43.72,89,22,15.46
148,Longyearbyen,SJ,2022-05-31 02:14:41,78.2186,15.6401,40.84,87,40,2.3
149,Franklin,US,2022-05-31 02:11:02,39.9667,-83.0166,77.99,67,0,4.61
150,Monroe,US,2022-05-31 02:14:41,43.1501,-77.6831,74.71,71,75,4.61
151,Clyde River,CA,2022-05-31 02:14:42,70.4692,-68.5914,15.57,83,16,3.96
152,Bondoukou,CI,2022-05-31 02:14:42,8.0333,-2.8,71.08,97,15,4.65
153,Khatanga,RU,2022-05-31 02:14:43,71.9667,102.5,37.87,66,73,7.94
154,Qurbus,TN,2022-05-31 02:14:43,36.8167,10.5687,68.04,69,13,2.77
155,Mar Del Plata,AR,2022-05-31 02:14:43,-38.0023,-57.5575,43.09,71,0,10.0
156,Kattivakkam,IN,2022-05-31 02:14:44,13.2167,80.3167,87.89,74,100,7.58
157,Baindur,IN,2022-05-31 02:13:17,13.8667,74.6333,81.61,79,80,4.23
158,Jega,NG,2022-05-31 02:14:44,12.2175,4.3792,86.97,51,86,11.18
159,Pyapon,MM,2022-05-31 02:14:44,16.2833,95.6833,78.89,89,100,9.66
160,Douglas,US,2022-05-31 02:14:45,41.3,-96.167,76.82,32,0,11.5
161,Kahului,US,2022-05-31 02:10:30,20.8947,-156.47,82.42,68,40,21.85
162,Semnan,IR,2022-05-31 02:14:45,35.5729,53.3971,68.7,27,0,0.85
163,Morant Bay,JM,2022-05-31 02:14:45,17.8815,-76.4093,81.72,86,100,9.04
164,Khani,GE,2022-05-31 02:14:46,41.9563,42.9566,53.17,70,0,6.51
165,Hambantota,LK,2022-05-31 02:14:46,6.1241,81.1185,77.9,88,100,21.3
166,Mackay,AU,2022-05-31 02:14:46,-21.15,149.2,76.68,37,73,9.19
167,Carnarvon,AU,2022-05-31 02:14:47,-24.8667,113.6333,64.26,46,70,20.8
168,Lagoa,PT,2022-05-31 02:14:47,39.05,-27.9833,59.29,74,100,12.8
169,Lubango,AO,2022-05-31 02:14:47,-14.9172,13.4925,55.4,43,0,5.95
170,Meulaboh,ID,2022-05-31 02:14:47,4.1363,96.1285,79.57,75,99,4.03
171,Nowy Targ,PL,2022-05-31 02:14:48,49.4778,20.0323,48.94,92,6,2.04
172,Los Llanos De Aridane,ES,2022-05-31 02:14:48,28.6585,-17.9182,69.55,91,75,13.8
173,Trincomalee,LK,2022-05-31 02:14:49,8.5711,81.2335,81.16,78,100,20.13
174,Airai,TL,2022-05-31 02:14:49,-8.9266,125.4092,75.51,52,74,2.04
175,Lompoc,US,2022-05-31 02:13:45,34.6391,-120.4579,62.85,69,0,16.11
176,Ciudad Bolivar,VE,2022-05-31 02:14:49,8.1222,-63.5497,83.64,57,100,12.39
177,Sisak,HR,2022-05-31 02:14:50,45.4661,16.3783,53.58,98,98,3.96
178,Pevek,RU,2022-05-31 02:14:50,69.7008,170.3133,34.84,86,100,4.52
179,Baculin,PH,2022-05-31 02:14:50,7.4525,126.5842,84.4,70,64,3.2
180,Baldone,LV,2022-05-31 02:14:50,56.7428,24.3944,51.58,99,100,3.67
181,Cayenne,GF,2022-05-31 02:15:51,4.9333,-52.3333,76.08,1,75,3.44
182,Lorengau,PG,2022-05-31 02:15:51,-2.0226,147.2712,81.84,77,100,7.45
183,Bethel,US,2022-05-31 02:15:51,41.3712,-73.414,73.65,78,0,1.01
184,Rondonopolis,BR,2022-05-31 02:15:52,-16.4708,-54.6356,74.28,62,34,1.05
185,Kodiak,US,2022-05-31 02:15:52,57.79,-152.4072,47.71,87,100,10.36
186,Dingle,PH,2022-05-31 02:15:52,10.9995,122.6711,79.16,81,100,5.93
187,Kudahuvadhoo,MV,2022-05-31 02:15:53,2.6708,72.8944,81.54,77,89,16.64
188,Duluth,US,2022-05-31 02:15:53,46.7833,-92.1066,63.72,94,100,19.57
189,Mogadishu,SO,2022-05-31 02:15:53,2.0371,45.3438,79.63,73,52,16.24
190,Moose Factory,CA,2022-05-31 02:15:54,51.2585,-80.6094,48.2,87,100,5.75
191,Saint Anthony,US,2022-05-31 02:12:04,45.0205,-93.218,71.83,85,75,17.27
192,Constitucion,CL,2022-05-31 02:10:56,-35.3333,-72.4167,43.92,67,0,5.66
193,Gat,IL,2022-05-31 02:11:05,31.61,34.7642,75.4,66,0,1.95
194,Suntar,RU,2022-05-31 02:15:54,62.1444,117.6319,56.07,47,99,10.83
195,Vardo,NO,2022-05-31 02:15:54,70.3705,31.1107,40.98,93,100,4.61
196,Miraflores,MX,2022-05-31 02:15:54,19.2167,-98.8083,72.97,59,97,5.5
197,San Patricio,US,2022-05-31 02:15:55,28.017,-97.5169,84.06,82,7,16.02
198,Novobirilyussy,RU,2022-05-31 02:15:55,56.9514,90.6661,51.3,88,95,7.9
199,Razdolnaya,RU,2022-05-31 02:15:56,45.3799,39.5557,60.58,89,23,5.82
200,Losal,IN,2022-05-31 02:15:56,27.4,74.9167,84.67,52,0,18.79
201,Guerrero Negro,MX,2022-05-31 02:14:18,27.9769,-114.0611,62.17,77,3,20.09
202,Saint-Philippe,RE,2022-05-31 02:15:56,-21.3585,55.7679,69.39,69,36,12.33
203,Seoul,KR,2022-05-31 02:11:09,37.5683,126.9778,74.59,21,3,7.81
204,Alofi,NU,2022-05-31 02:15:57,-19.0595,-169.9187,80.49,78,75,9.22
205,Lithgow,AU,2022-05-31 02:15:57,-33.4833,150.15,39.65,94,100,17.56
206,Chokurdakh,RU,2022-05-31 02:15:57,70.6333,147.9167,48.49,56,100,10.69
207,Ukiah,US,2022-05-31 02:13:29,39.1502,-123.2078,71.44,45,0,11.5
208,Dodola,ET,2022-05-31 02:15:58,6.9833,39.1833,50.23,79,53,3.02
209,Pandan,PH,2022-05-31 02:15:58,14.0453,124.1694,82.94,73,95,2.24
210,Christchurch,NZ,2022-05-31 02:15:06,-43.5333,172.6333,70.0,50,55,13.8
211,Yulara,AU,2022-05-31 02:15:58,-25.2406,130.9889,58.12,40,97,8.84
212,Ribeira Grande,PT,2022-05-31 02:15:58,38.5167,-28.7,60.3,77,75,14.79
213,Los Cedrales,PY,2022-05-31 02:15:59,-25.65,-54.7,52.09,86,100,5.93
214,Richards Bay,ZA,2022-05-31 02:15:59,-28.783,32.0377,57.58,75,0,7.14
215,Jiwani,PK,2022-05-31 02:16:00,25.05,61.7417,83.3,80,5,9.62
216,Shingu,JP,2022-05-31 02:16:00,33.7333,135.9833,70.57,83,100,4.32
217,Rovaniemi,FI,2022-05-31 02:16:00,66.5,25.7167,56.61,67,0,9.22
218,Coihaique,CL,2022-05-31 02:14:01,-45.5752,-72.0662,25.41,93,20,3.44
219,Souillac,MU,2022-05-31 02:16:01,-20.5167,57.5167,73.78,68,40,13.8
220,Gayeri,BF,2022-05-31 02:16:01,12.6497,0.4931,83.16,56,85,10.71
221,Cherskiy,RU,2022-05-31 02:16:02,68.75,161.3,54.7,40,68,5.5
222,Inuvik,CA,2022-05-31 02:16:03,68.3499,-133.7218,48.96,57,20,9.22
223,Lakes Entrance,AU,2022-05-31 02:16:03,-37.8811,147.981,56.16,53,6,19.26
224,Geraldton,AU,2022-05-31 02:16:03,-28.7667,114.6,64.81,48,100,23.02
225,Ostrovnoy,RU,2022-05-31 02:16:03,68.0531,39.5131,37.72,83,99,5.55
226,Korla,CN,2022-05-31 02:16:04,41.7597,86.1469,81.14,23,100,12.35
227,Houma,US,2022-05-31 02:16:04,29.5958,-90.7195,81.0,82,40,10.36
228,Karratha,AU,2022-05-31 02:16:05,-20.7377,116.8463,64.53,84,96,20.2
229,Isa Khel,AF,2022-05-31 02:16:05,36.6702,68.8443,77.85,20,0,3.2
230,Naousa,GR,2022-05-31 02:17:05,40.6329,22.0534,64.65,65,23,3.51
231,Luwuk,ID,2022-05-31 02:17:05,-0.9516,122.7875,85.66,73,98,3.18
232,Giddalur,IN,2022-05-31 02:17:06,15.35,78.9167,85.64,59,100,15.9
233,Santa Isabel,BR,2022-05-31 02:17:06,-23.3156,-46.2214,65.5,89,100,3.29
234,Alto Araguaia,BR,2022-05-31 02:17:06,-17.3147,-53.2153,72.09,64,92,3.44
235,Kurumkan,RU,2022-05-31 02:17:07,54.3,110.3,58.84,37,76,5.44
236,Boende,CD,2022-05-31 02:17:07,-0.2167,20.8667,71.55,89,70,1.86
237,Swidwin,PL,2022-05-31 02:17:07,53.7746,15.7767,50.95,96,15,6.4
238,Vaitape,PF,2022-05-31 02:17:08,-16.5167,-151.75,80.29,70,91,10.13
239,Salinopolis,BR,2022-05-31 02:17:08,-0.6136,-47.3561,78.19,86,32,6.38
240,Haines Junction,CA,2022-05-31 02:17:08,60.7522,-137.5108,71.55,17,6,10.36
241,Estelle,US,2022-05-31 02:17:09,29.8458,-90.1067,82.4,77,40,11.5
242,Ewa Beach,US,2022-05-31 02:17:09,21.3156,-158.0072,85.95,50,0,16.11
243,Cidreira,BR,2022-05-31 02:17:09,-30.1811,-50.2056,49.6,69,13,10.67
244,Coper,CO,2022-05-31 02:17:10,5.4768,-74.0442,68.22,97,100,3.69
245,Severnoye,RU,2022-05-31 02:17:10,56.3491,78.3619,56.75,73,100,4.63
246,Challans,FR,2022-05-31 02:17:11,46.8436,-1.8749,50.2,71,20,5.41
247,Darhan,MN,2022-05-31 02:17:11,49.4867,105.9228,63.5,40,1,8.79
248,Tullow,IE,2022-05-31 02:17:11,52.8003,-6.7369,43.97,96,16,4.56
249,Shimoda,JP,2022-05-31 02:17:12,34.6667,138.95,66.56,90,100,10.94
